organisationunitname,periodname,Amoxyl,CHW ACT Stocks: 12s Balance on hand,CHW ACT Stocks: 18s Balance on hand,CHW ACT Stocks: 24s Balance on hand,CHW ACT Stocks: 6s Balance on hand,CHW RDT Stocks: RDT Balance on hand,Diarrhoea ,Diarrhoea  < 5 female,Diarrhoea  < 5 male,Diarrhoea  Referred,Diarrhoea  Referred < 5 female,Diarrhoea  Referred < 5 male,Diarrhoea  Treated ,Diarrhoea  Treated  < 5 female,Diarrhoea  Treated  < 5 male,ORS,Panadol,Pneumonia,Pneumonia  Female < 5,Pneumonia  Male < 5,Positive severe malaria cases_2M to 6Y,RHCC - Actual reports,RHCC - Expected reports,RHCC_Positive malaria cases< 5yrs,RHCC_malaria cases referred< 5yrs,RHCC_malaria cases tested < 5yrs,RHCC_malaria cases treated < 5yrs,Referred for Pneumonia,Referred for Pneumonia < 5 female,Referred for Pneumonia < 5 male,Treated for Pneumonia,Treated for Pneumonia < 5  female,Treated for Pneumonia < 5  male,Zinc
ce Malombe Rural Health Centre Luyando B,July 2025,4,5,5,5,5,,,,,,,,,,,5,,1,,1,,0,1,,,,,,,,1,,1,5
ce Malombe Rural Health Centre Malombe A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Malombe A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Malombe B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Malombe B,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Malombe C,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Malombe C,July 2025,,5,5,5,5,,2,,2,,,,2,,2,3,,5,1,4,,0,1,,,,,,,,5,4,1,3
ce Malombe Rural Health Centre Malombe D,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Malombe D,July 2025,2,5,5,5,5,,,,,,,,,,,5,,2,,2,,0,1,,,,,,,,2,,2,5
ce Malombe Rural Health Centre Malombe E,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Malombe E,July 2025,5,5,5,5,5,,,,,,,,,,,5,,,,,,0,1,,,,,,,,,,,5
ce Malombe Rural Health Centre Malombe F,July 2025,4,5,5,5,5,,,,,,,,,,,5,,1,,1,,0,1,,,,,,,,1,,1,5
ce Malombe Rural Health Centre Malombe F,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Malombe G,July 2025,,5,5,5,5,,2,,2,,,,2,,2,3,,5,2,3,,0,1,,,,,,,,5,2,3,3
ce Malombe Rural Health Centre Malombe G,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Monang'ombe A,July 2025,5,4,5,4,5,,,,,,,,,,,5,,,,,,0,1,,,,,,,,,,,5
ce Malombe Rural Health Centre Monang'ombe A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Monang'ombe B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Monang'ombe B,July 2025,5,5,5,3,5,,,,,,,,,,,5,,,,,,0,1,,,,,,,,,,,5
ce Malombe Rural Health Centre Monang'ombe C,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Monang'ombe C,July 2025,5,,,,,,,,,,,,,,,5,,,,,,0,1,,,,,,,,,,,5
ce Malombe Rural Health Centre Monang'ombe D,July 2025,2,5,5,5,5,,1,,1,,,,1,,1,4,,3,1,2,,0,1,,,,,,,,3,1,2,4
ce Malombe Rural Health Centre Monang'ombe D,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Monang'ombe E,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Monang'ombe E,July 2025,5,5,5,5,5,,1,1,,,,,1,1,,4,,,,,,0,1,,,,,,,,,,,4
ce Malombe Rural Health Centre Monang'ombe F,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Monang'ombe F,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Monang'ombe G,July 2025,3,,,,,,2,1,1,,,,2,1,1,3,,2,1,1,,0,1,,,,,,,,2,1,1,3
ce Malombe Rural Health Centre Monang'ombe G,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Mukamwanje A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Mukamwanje A,July 2025,5,5,5,5,5,,,,,,,,,,,5,,,,,,0,1,,,,,,,,,,,5
ce Malombe Rural Health Centre Mukamwanje B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Mukamwanje B,July 2025,2,5,5,5,5,,,,,,,,,,,5,,3,2,1,,0,1,,,,,,,,3,2,1,5
ce Malombe Rural Health Centre Muyala A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Muyala A,July 2025,2,5,5,5,,,,,,,,,,,,5,,3,2,1,,0,1,,,,,,,,3,2,1,5
ce Malombe Rural Health Centre Muyala B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Muyala B,July 2025,2,5,5,5,5,,,,,,,,,,,5,,3,2,1,,0,1,,,,,,,,3,2,1,5
ce Malombe Rural Health Centre Shamputa A,July 2025,5,5,5,5,5,,,,,,,,,,,5,,,,,,0,1,,,,,,,,,,,5
ce Malombe Rural Health Centre Shamputa A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Shamputa B,July 2025,5,5,5,5,5,,1,,1,,,,1,,1,4,,,,,,0,1,,,,,,,,,,,4
ce Malombe Rural Health Centre Shamputa B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Shamputa C,July 2025,3,5,5,5,5,,2,1,1,,,,2,1,1,3,,2,1,1,,0,1,,,,,,,,2,1,1,4
ce Malombe Rural Health Centre Shamputa C,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Shamputa D,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Shamputa D,July 2025,5,5,5,5,5,,,,,,,,,,,5,,,,,,0,1,,,,,,,,,,,5
ce Malombe Rural Health Centre Shamputa E,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Shamputa E,July 2025,5,5,5,5,5,,1,,1,,,,1,,1,4,,,,,,0,1,,,,,,,,,,,4
ce Malombe Rural Health Centre Shamputa F,July 2025,2,,,,,,2,1,1,,,,2,1,1,3,,3,2,1,,0,1,,,,,,,,3,2,1,3
ce Malombe Rural Health Centre Shamputa F,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Shamputa G,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Shamputa G,July 2025,5,5,5,5,5,,,,,,,,,,,5,,,,,,0,1,,,,,,,,,,,5
ce Malombe Rural Health Centre Shamputa H,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Shamputa H,July 2025,2,5,5,4,5,,1,1,,,,,1,1,,4,,3,2,1,,0,1,,,,,,,,3,2,1,4
ce Mwantaya HP Chinfunde,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Chinfunde,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Chiwala,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Chiwala,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Kalela ,August 2025,20,,4,14,5,,,,,,,,,,,6,,,,,,0,1,,,7,,,,,,,,5
ce Mwantaya HP Kalela ,July 2025,20,,,5,,,5,4,1,,,,5,4,1,15,,1,,1,,0,1,4,,15,4,,,,1,,1,34
ce Mwantaya HP Katete ,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Katete ,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Katuba,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Katuba,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Lyampayama,July 2025,40,,,,,,,,,,,,,,,14,,,,,,0,1,,,,,,,,,,,12
ce Mwantaya HP Lyampayama,August 2025,20,2,3,4,5,,,,,,,,,,,5,,,,,,0,1,3,,3,3,,,,,,,15
ce Mwantaya HP Mapulanga,August 2025,25,41,20,15,23,,,,,,,,,,,5,,,,,,0,1,5,,5,5,,,,,,,17
ce Mwantaya HP Mapulanga,July 2025,90,,282,370,7,,2,2,,,,,2,2,,16,,,,,,0,1,,,9,,,,,,,,
ce Mwantaya HP Mulungushi ,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Mulungushi ,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Mwanamulando ,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Mwanamulando ,August 2025,15,,,,,,,,,,,,,,,4,,,,,,0,1,,,,,,,,,,,20
ce Mwantaya HP Nsungula,July 2025,30,4,4,6,3,,1,,1,,,,1,,1,16,4,,,,,0,1,2,,2,2,,,,,,,2
ce Mwantaya HP Nsungula,August 2025,20,,56,25,22,,,,,,,,,,,5,32,,,,,0,1,3,,3,3,,,,,,,4
ce Mwantaya HP Saili ,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Saili ,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwantaya HP Sipondo,August 2025,30,3,4,10,2,,,,,,,,,,,24,,,,,,0,1,,,,,,,,,,,11
ce Mwantaya HP Sipondo,July 2025,10,,2,2,31,,1,1,,,,,1,1,,1,,2,2,,,0,1,,,2,2,,,,2,2,,8
ce Mwantaya Health Post,July 2025,190,4,288,383,41,,9,7,2,,,,9,7,2,62,4,3,2,1,,0,13,6,,28,8,,,,3,2,1,56
ce Mwantaya Health Post,August 2025,130,46,87,68,57,,,,,,,,,,,49,32,,,,,0,13,11,,18,11,,,,,,,72
ce Mwapula HP Chikompa A,August 2025,,,27,26,24,,,1,1,,,,1,1,1,,,,,,,0,1,,,,,,,,,,,
ce Mwapula HP Chikompa A,July 2025,,,24,27,24,,1,,1,,,,1,,1,4,25,3,2,1,,0,1,2,,3,2,,,,3,2,1,10
ce Mwapula HP Chikompa B,August 2025,,,30,29,27,,,,,,,,,,,6,20,,,,,0,1,,,1,,,,,,,,20
ce Mwapula HP Chikompa B,July 2025,,,30,29,27,,,,,,,,,,,6,30,2,2,,,0,1,,,4,,,,,2,2,,20
ce Mwapula HP Chikwasha A,August 2025,,,30,30,35,,,,,,,,,,,16,30,,,,,0,1,6,,7,6,,,,,,,85
ce Mwapula HP Chikwasha A,July 2025,,,,9,20,,2,,2,,,,2,,2,16,,2,1,1,,0,1,3,,7,3,,,,2,1,1,85
ce Mwapula HP Chikwasha B,August 2025,,,24,10,20,,1,1,,,,,1,1,,19,,,,,,0,1,,,1,,,,,,,,99
ce Mwapula HP Chikwasha B,July 2025,,,27,18,22,,,,,,,,,,,7,,,,,,0,1,,,10,6,,,,,,,100
ce Mwapula HP Hamanjanji,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwapula HP Hamanjanji,August 2025,,,57,27,4,,2,1,1,,,,2,1,1,1,,,,,,0,1,3,,5,3,,,,,,,100
ce Mwapula HP Kateya,July 2025,,,28,15,10,,,,,,,,,,,6,,3,,3,,0,1,4,,9,4,,,,3,,3,20
ce Mwapula HP Kateya,August 2025,,,26,13,4,,,,,,,,,,,6,,,,,,0,1,2,,4,2,,,,,,,20
ce Mwapula HP Mazila,July 2025,,,54,38,44,,,,,,,,,,,4,,,,,,0,1,3,7,7,3,,,,,,,
ce Mwapula HP Mazila,August 2025,,,54,33,42,,,,,,,,,,,2,30,,,,,0,1,,,3,,,,,,,,
ce Mwapula HP Michelo,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwapula HP Michelo,August 2025,2,,28,20,29,,,,,,,,,,,2,6,,,,,0,1,,,,,,,,,,,
ce Mwapula HP Mungolo,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwapula HP Mungolo,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwapula HP Muntemba,August 2025,,,47,23,47,,,,,,,,,,,,,,,,,0,1,1,,1,1,,,,,,,
ce Mwapula HP Muntemba,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwapula HP Mushobo A,August 2025,,,24,16,19,,,,,,,,,,,,,6,3,3,,0,1,,,3,,4,3,1,3,3,3,
ce Mwapula HP Mushobo A,July 2025,,,25,17,19,,3,1,2,,,,3,1,2,,,,,,,0,1,8,,20,8,,,,,,,
ce Mwapula HP Mushobo B,August 2025,,,,24,27,,2,2,,,,,2,2,,16,,,,1,,0,1,,,1,,,,,1,,1,80
ce Mwapula HP Mushobo B,July 2025,,,,30,27,,,,,,,,,,,20,,,,,,0,1,1,,9,1,,,,,,,100
ce Mwapula HP Mweete B,August 2025,10,,25,,27,,,,,,,,,,,6,25,,,,,0,1,,,3,,,,,,,,20
ce Mwapula HP Mweete B,July 2025,10,,26,7,30,,,,,,,,,,,6,30,5,3,2,,0,1,,,4,,,,,5,3,2,20
ce Mwapula HP Ndililwa,July 2025,,,25,24,27,,,,,,,,,,,,,,,,,0,1,2,,3,2,,,,,,,
ce Mwapula HP Ndililwa,August 2025,,,20,23,25,,,,,,,,,,,,,,,,,0,1,1,,4,1,,,,,,,
ce Mwapula HP Salvation church,July 2025,,,,29,18,,,,,,,,,,,20,,1,1,,,0,1,,3,3,1,,,,,,,100
ce Mwapula HP Salvation church,August 2025,,,,28,10,,2,1,1,,,,2,1,1,16,,2,1,1,,0,1,2,,2,2,,,,2,1,1,80
ce Mwapula HP Tumbama,August 2025,,,,28,,,,,,,,,,,,,,,,,,0,1,,,2,,,,,,,,10
ce Mwapula HP Tumbama,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Mwapula Health Post,July 2025,10,,239,243,268,,6,1,5,,,,6,1,5,89,85,16,9,7,,0,17,23,10,79,30,,,,15,8,7,455
ce Mwapula Health Post,August 2025,12,,392,330,340,,7,6,3,,,,8,6,3,90,111,8,4,5,,0,17,15,,37,15,4,3,1,6,4,5,514
zm Zambia Ministry of Health,August 2025,"18,867",77700.25,88614.45,141201.67,66117.3,"179,653",570,266,282,38,12,17,548,263,268,"7,223","50,257",921,472,453,22,0,832,"1,729",39,"2,694","1,782",11,6,5,931,465,440,"16,284"
zm Zambia Ministry of Health,July 2025,"7,502",75860.83,87636.01,145418.12,"67,198","190,125",177,88,90,8,5,4,169,83,86,"4,257","14,701",437,218,225,10,0,745,663,26,"1,219",657,6,2,5,422,221,214,"4,575"
