organisationunitname,periodname,Amoxyl,CHW ACT Stocks: 12s Balance on hand,CHW ACT Stocks: 18s Balance on hand,CHW ACT Stocks: 24s Balance on hand,CHW ACT Stocks: 6s Balance on hand,CHW RDT Stocks: RDT Balance on hand,Diarrhoea ,Diarrhoea  < 5 female,Diarrhoea  < 5 male,Diarrhoea  Referred,Diarrhoea  Referred < 5 female,Diarrhoea  Referred < 5 male,Diarrhoea  Treated ,Diarrhoea  Treated  < 5 female,Diarrhoea  Treated  < 5 male,ORS,Panadol,Pneumonia,Pneumonia  Female < 5,Pneumonia  Male < 5,Positive severe malaria cases_2M to 6Y,RHCC - Actual reports,RHCC - Expected reports,RHCC_Positive malaria cases< 5yrs,RHCC_malaria cases referred< 5yrs,RHCC_malaria cases tested < 5yrs,RHCC_malaria cases treated < 5yrs,Referred for Pneumonia,Referred for Pneumonia < 5 female,Referred for Pneumonia < 5 male,Treated for Pneumonia,Treated for Pneumonia < 5  female,Treated for Pneumonia < 5  male,Zinc
no Mulanshi RHC Mukopa B,July 2025,25,,21,12,,,,,,,,,,,,23,41,,,,,0,1,,,,,,,,,,,18
no Mulanshi RHC Musoma,July 2025,,,15,18,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Mulanshi RHC Musoma,August 2025,33,15,,10,5,,,,,,,,,,,24,45,,,,,0,1,3,1,3,3,,,,,,,20
no Mulanshi RHC Mwalushi,July 2025,20,25,,15,,,4,1,3,,,,4,1,3,21,27,,,,,0,1,9,,13,9,,,,,,,18
no Mulanshi RHC Mwalushi,August 2025,35,15,,10,,,,,,,,,,,,28,30,,,,,0,1,,,,,,,,,,,20
no Mulanshi Rural Health Centre,July 2025,177,103,46,123,15,,18,8,10,,,,18,8,10,183,278,1,,1,,0,10,28,,28,27,1,,1,1,,1,114
no Mulanshi Rural Health Centre,August 2025,238,61,3,71,60,,10,2,8,,,,10,2,8,202,397,,,,,0,10,22,1,36,28,,,,,,,136
no Mwamba RHC Chilyaeka,July 2025,4,19,,,,,1,,1,,,,1,,1,98,535,10,7,2,,0,1,3,,7,3,,,,10,7,2,
no Mwamba RHC Chilyaeka,August 2025,,,,,,,,,,,,,,,,,,,,,1,0,1,9,1,13,8,,,,,,,
no Mwamba RHC Chumbu,July 2025,,,,,,,,,,,,,,,,100,,,,,,0,1,5,,7,5,,,,,,,
no Mwamba RHC Chumbu,August 2025,,,,,,,5,2,3,,,,5,2,3,32,,,,,,0,1,5,,5,5,,,,,,,
no Mwamba RHC Jereman,July 2025,,,,,,,5,,5,,,,5,,5,90,,14,6,8,,0,1,13,,15,13,,,,8,8,6,
no Mwamba RHC Jereman,August 2025,,,,,,,,,,,,,,,,,,,,,1,0,1,4,1,5,4,,,,,,,
no Mwamba RHC Kalonde,August 2025,,26,,7,,,,,,,,,,,,,,,,,,0,1,15,,27,15,,,,,,,
no Mwamba RHC Kalonde,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Mwamba RHC Kasonde Mwamba,July 2025,,,,,,,,,,,,,,,,100,100,6,1,5,,0,1,10,,15,10,,,,6,1,5,
no Mwamba RHC Kasonde Mwamba,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,2,,7,2,,,,,,,
no Mwamba RHC Muchilingwa,July 2025,,,,,,,1,,1,,,,1,,1,98,,9,4,5,,0,1,6,,6,6,,,,9,4,5,
no Mwamba RHC Muchilingwa,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,3,,6,3,,,,,,,
no Mwamba RHC Mwamba Central,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,3,,6,3,,,,,,,
no Mwamba RHC Mwamba Central,July 2025,,,,,,,1,,1,,,,1,,1,100,224,4,2,2,,0,1,1,,6,1,,,,4,2,2,
no Mwamba RHC Mwamba Chistula ,July 2025,,,,,,,,,,,,,,,,100,535,8,3,5,,0,1,8,,8,8,,,,5,3,5,
no Mwamba RHC Mwamba Chistula ,August 2025,,,,2,,,,,,,,,,,,100,,,,,,0,1,1,,3,1,,,,,,,
no Mwamba RHC Mwamba Mukabala ,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,2,,2,2,,,,,,,
no Mwamba RHC Mwamba Mukabala ,July 2025,,,,,,,1,1,,,,,1,,,98,,6,3,3,,0,1,5,,5,5,,,,3,3,3,
no Mwamba RHC Mwamba Tobo ,August 2025,,,,,,,,,,,,,,,,100,,5,2,3,,0,1,,,3,,,,,5,2,3,
no Mwamba RHC Mwamba Tobo ,July 2025,,15,,,,,,,,,,,,,,96,,8,3,5,,0,1,5,,5,5,,,,8,3,5,
no Mwamba RHC Ndoloka 1,July 2025,,,,,,,2,,2,,,,2,,2,97,,,,,,0,1,4,,4,4,,,,,,,
no Mwamba RHC Ndoloka 1,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Mwamba RHC Ndoloka 2,July 2025,,10,,,,,,,,,,,,,,100,,,,,,0,1,5,,5,5,,,,,,,
no Mwamba RHC Ndoloka 2,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Mwamba RHC Sampa,August 2025,,,,,,,,,,,,,,,,92,,3,1,2,,0,1,8,,8,8,,,,3,1,2,
no Mwamba RHC Sampa,July 2025,,,,,,,,,,,,,,,,92,,3,1,2,,0,1,8,,8,8,,,,3,1,2,
no Mwamba Rural Health Centre,July 2025,4,44,,,,,11,1,10,,,,11,,10,"1,169","1,394",68,30,37,,0,13,73,,91,73,,,,56,32,35,
no Mwamba Rural Health Centre,August 2025,,26,,9,,,5,2,3,,,,5,2,3,324,,8,3,5,2,0,13,52,2,85,51,,,,8,3,5,
no Nkolemfumu RHC Bwalya Chabala,July 2025,,,,,,,2,2,,,,,2,2,,6,,5,3,2,,0,1,4,,4,4,,,,5,3,2,8
no Nkolemfumu RHC Bwalya Chabala,August 2025,,,,2,,,1,,1,,,,1,,1,2,,7,6,1,,0,1,8,,14,14,,,,1,,3,40
no Nkolemfumu RHC Chifuko Kabwe,August 2025,,,,,,,3,2,1,,,,3,2,1,12,,8,2,6,,0,1,50,,32,75,,,,8,2,6,3
no Nkolemfumu RHC Chifuko Kabwe,July 2025,10,,,,1,,1,,1,,,,1,,1,18,,6,5,1,,0,1,22,11,22,22,,,,6,1,5,5
no Nkolemfumu RHC Chikalamo,August 2025,,1,,,,,3,3,,,,,3,3,,1,,7,5,6,,0,1,6,,9,6,,,,2,4,2,15
no Nkolemfumu RHC Chikalamo,July 2025,,,,,,,2,2,,,,,2,2,,6,,6,5,1,,0,1,4,,11,4,,,,6,5,1,40
no Nkolemfumu RHC Chintandu,August 2025,,4,,3,,,1,,1,,,,1,,1,4,,7,4,3,,0,1,15,,23,15,,,,7,4,3,30
no Nkolemfumu RHC Chintandu,July 2025,,,,1,1,,2,1,1,,,,2,1,1,6,,8,4,4,,0,1,30,,36,30,,,,8,4,4,40
no Nkolemfumu RHC Ishitu,August 2025,,1,,,1,,5,1,4,,,,5,1,4,10,,12,6,6,,0,1,14,,14,14,,,,12,6,6,50
no Nkolemfumu RHC Ishitu,July 2025,10,,,,,,,,,,,,,,,20,,8,3,5,,0,1,16,,16,16,,,,8,3,5,60
no Nkolemfumu RHC Kafushi,July 2025,,,,,,,2,1,1,,,,2,1,1,6,,8,2,5,,0,1,12,,12,12,,,,7,2,5,40
no Nkolemfumu RHC Kafushi,August 2025,,1,,4,,,2,1,1,8,,,2,1,1,2,,4,2,2,,0,1,14,,14,14,,,,4,2,2,2
no Nkolemfumu RHC Kantasha,July 2025,38,2,,3,,,,,,,,,,,,8,,1,,,,0,1,4,,2,2,,,,1,1,,60
no Nkolemfumu RHC Kantasha,August 2025,,12,,12,,,2,1,1,,,,2,1,1,4,,9,7,2,,0,1,3,,6,3,,,,9,7,2,40
no Nkolemfumu RHC Kawama,July 2025,,,,,,,,,,,,,,,,10,,7,5,2,,0,1,5,,9,5,,,,7,5,2,60
no Nkolemfumu RHC Kawama,August 2025,20,,,4,,,3,2,1,,,,3,2,1,4,,7,3,4,,0,1,12,,20,12,,,,7,3,4,30
no Nkolemfumu RHC Lwenge A,August 2025,,,,4,,,12,5,7,,,,12,5,7,5,,,,,,0,1,15,,15,15,,,,,,,20
no Nkolemfumu RHC Lwenge A,July 2025,40,,,,,,5,3,2,,,,5,3,2,6,,,,,,0,1,7,,7,7,,,,,,,10
no Nkolemfumu RHC Lwenge B,August 2025,40,15,,13,,,1,1,,,,,1,1,,8,20,6,5,1,,0,1,1,,1,1,,,,6,5,1,50
no Nkolemfumu RHC Lwenge B,July 2025,20,,,1,,,1,1,,,,,1,1,,8,,,,,,0,1,1,,1,1,,,,,,,50
no Nkolemfumu RHC Makula ,July 2025,40,,,1,,,2,1,1,,,,2,1,1,6,,4,3,1,,0,1,3,,3,3,,,,4,3,1,40
no Nkolemfumu RHC Makula ,August 2025,10,3,,,,,3,2,1,1,1,,2,1,1,,,6,1,5,,0,1,9,,9,9,,,,6,1,5,202
no Nkolemfumu RHC Mukabila,August 2025,20,4,,8,,,4,,4,,,,4,,4,8,,10,5,5,,0,1,18,,29,18,1,,1,9,4,5,80
no Nkolemfumu RHC Mukabila,July 2025,,,,,,,4,3,2,,,,4,2,2,4,,9,4,5,,0,1,6,,12,6,,,,9,2,5,20
no Nkolemfumu RHC Mulenga Musubala,July 2025,10,,,,,,,,,,,,,,,10,,9,3,4,,0,1,11,,13,11,,,,7,4,3,60
no Nkolemfumu RHC Mulenga Musubala,August 2025,,,,,,,,,,,,,,,,,,4,1,3,,0,1,4,,4,4,,,,4,1,3,
no Nkolemfumu RHC Mwelwa,July 2025,,,,,,,5,3,2,,,,5,3,2,2,,9,6,3,,0,1,7,,12,7,,,,9,6,3,40
no Nkolemfumu RHC Mwelwa,August 2025,,,,2,,,,,,,,,,,,,,4,3,1,,0,1,10,,16,10,,,,4,3,1,
no Nkolemfumu RHC Nide,August 2025,50,7,,8,,,1,,1,,,,1,,1,12,15,4,2,2,,0,1,13,,13,13,,,,4,2,2,120
no Nkolemfumu RHC Nide,July 2025,,,,,,,3,3,,,,,3,3,,4,,,,,,0,1,10,,10,10,,,,,,,30
no Nkolemfumu RHC Robert Mandona,August 2025,80,,,4,,,2,,2,,,,2,,2,2,,,,,,0,1,10,,17,10,,,,,,,10
no Nkolemfumu RHC Robert Mandona,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,4,,12,4,,,,,,,
no Nkolemfumu RHC Sanja,July 2025,60,,,,,,2,1,1,1,1,,2,1,1,8,,,,,,0,1,5,,8,5,,,,,,,50
no Nkolemfumu RHC Sanja,August 2025,,,,7,,,5,3,2,1,1,,5,3,2,,,7,4,3,2,0,1,13,2,2,15,,,,7,4,3,2
no Nkolemfumu Rural Health Centre,August 2025,220,48,,71,1,,48,21,27,10,2,,47,20,27,74,35,102,56,50,2,0,17,215,2,238,248,1,,1,90,48,48,694
no Nkolemfumu Rural Health Centre,July 2025,228,2,,6,2,,31,21,11,1,1,,31,20,11,128,,80,43,33,,0,17,151,11,190,149,,,,77,39,36,613
no Northern Province,August 2025,"15,100","8,411","9,344","9,563","6,250","10,442",461,211,222,20,5,7,445,212,216,"6,595","49,023",841,430,405,13,0,432,"1,617",27,"2,393","1,666",6,2,4,852,426,395,"14,744"
no Northern Province,July 2025,"3,341","7,377","8,020","9,326","5,660","11,384",89,43,47,1,1,,88,41,46,"3,734","14,059",314,161,159,,0,345,541,13,878,528,1,,1,306,162,155,"3,048"
no Ntumpa HP Andele A,July 2025,,,,26,29,,,,,,,,,,,,,,,,,0,1,1,,1,1,,,,,,,
no Ntumpa HP Andele A,August 2025,440,,,9,15,,3,2,1,,,,3,3,1,14,,9,3,6,,0,1,7,,20,7,,,,9,3,6,7
no Ntumpa HP Andele B,July 2025,,,,26,17,,,,,,,,,,,,,,,,,0,1,13,,13,13,,,,,,,
no Ntumpa HP Andele B,August 2025,200,,,17,,,,,,,,,,,,20,100,5,3,2,,0,1,25,,41,25,,,,5,3,2,20
no Ntumpa HP Chiliba,August 2025,40,,,,3,,2,1,1,,,,2,1,1,10,500,1,,1,,0,1,9,,17,9,,,,1,,1,10
no Ntumpa HP Chiliba,July 2025,,,,27,15,,,,,,,,,,,,,,,,,0,1,5,,9,8,,,,,,,
no Ntumpa HP Chishisa ,August 2025,420,,,17,,,,,,,,,,,,19,352,4,3,1,,0,1,6,,7,6,,,,4,4,1,9
no Ntumpa HP Chishisa ,July 2025,,30,,30,24,,,,,,,,,,,,,,,,,0,1,1,,1,,,,,,,,
no Ntumpa HP Chishisa B,August 2025,27,,,17,7,,1,,1,,,,,,1,18,,,13,19,,0,1,4,,9,4,,,,32,13,19,9
no Ntumpa HP Chishisa B,July 2025,,,,14,7,,,,,,,,,,,,,,,,,0,1,4,,16,4,,,,,,,
no Ntumpa HP Jmumba,July 2025,,,,19,,,,,,,,,,,,,,14,10,4,,0,1,5,,13,5,,,,14,10,4,
no Ntumpa HP Jmumba,August 2025,15,,,1,14,,2,1,1,,,,2,1,1,17,,9,5,4,,0,1,8,,13,8,,,,9,5,4,18
no Ntumpa HP Kabwibwi ,July 2025,,,,26,26,,1,,1,,,,,,,,,8,4,4,,0,1,,,10,2,,,,4,4,4,
no Ntumpa HP Kabwibwi ,August 2025,22,,,13,22,,2,,2,,,,2,,2,14,300,6,4,2,,0,1,8,,8,8,,,,6,4,2,7
no Ntumpa HP Kabwibwi B,August 2025,46,,,48,21,,1,1,,,,,1,1,,17,209,2,2,,,0,1,4,,4,4,,,,2,2,,8
no Ntumpa HP Kabwibwi B,July 2025,,,,26,28,,,,,,,,,,,,,,,,,0,1,6,,6,6,,,,,,,
no Ntumpa HP Kombe,August 2025,11,,,6,6,,,,,,,,,,,16,,8,2,6,,0,1,8,,15,8,,,,8,2,6,18
no Ntumpa HP Kombe,July 2025,,,,26,9,,,,,,,,,,,,,,,,,0,1,14,,5,5,,,,,,,
no Ntumpa HP Mumbi Chipela ,August 2025,350,,,26,,,,,,,,,,,,5,473,,,,,0,1,2,,5,2,,,,,,,8
no Ntumpa HP Mumbi Chipela ,July 2025,,27,,30,29,,,,,,,,,,,,,,,,,0,1,5,,4,2,,,,,,,
no Ntumpa HP Ntumpa ,August 2025,320,,,8,11,,1,1,,,,,1,1,,17,578,9,5,4,,0,1,13,,21,13,,,,9,5,4,13
no Ntumpa HP Ntumpa ,July 2025,,,,24,26,,,,,,,,,,,,,,,,,0,1,4,,8,4,,,,,,,
no Ntumpa Health Post,July 2025,,57,,274,210,,1,,1,,,,,,,,,22,14,8,,0,11,58,,86,50,,,,18,14,8,
no Ntumpa Health Post,August 2025,"1,891",,,162,99,,12,6,6,,,,11,7,6,167,"2,512",53,40,45,,0,11,94,,160,94,,,,85,41,45,127
zm Zambia Ministry of Health,August 2025,"18,867",77700.25,88670.45,141257.67,66117.3,"179,695",570,266,282,38,12,17,548,263,268,"7,223","50,257",921,472,453,22,0,832,"1,729",39,"2,694","1,782",11,6,5,931,465,440,"16,284"
zm Zambia Ministry of Health,July 2025,"7,502",75860.83,87654.01,145418.12,"67,199","190,125",177,88,90,8,5,4,169,83,86,"4,257","14,701",437,218,225,10,0,745,663,26,"1,219",657,6,2,5,422,221,214,"4,575"
